combined_label,broad_qid,question_text,original_wvc_hypothesis,hypothesis_recoding_action,recoded_wvc_hypothesis_stem,likert_scale,response_text,response_hypothesis,adapted_hypothesis_1,adapted_hypothesis_2,adapted_hypothesis_3,adapted_hypothesis_4,adapted_hypothesis_5
Q17_1,Q17,"Important child qualities: Obedience Here is a list of qualities that children can be encouraged to learn at home. Which, if any, do you consider to be especially important? Please choose up to five. – Obedience",It is important for children to be obedient.,keep,it is important for children to be obedient.,1,Important,it is important for children to be obedient.,A well-ordered society begins with those who understand when to listen and when to yield.,The strength of institutions lies in the ability of individuals to respect boundaries not drawn by themselves.,"There is merit in restraint, especially when it reflects shared purpose over personal impulse.",We teach our children that discipline is not a limitation but a path to collective dignity.,"Obedient conduct, when grounded in principle, remains essential to the cohesion of any enduring system."
Q17_2,Q17,"Important child qualities: Obedience Here is a list of qualities that children can be encouraged to learn at home. Which, if any, do you consider to be especially important? Please choose up to five. – Obedience",It is important for children to be obedient.,keep,it is important for children to be obedient.,2,Not mentioned,it is not important for children to be obedient.,"The ability to question, rather than to submit, is the foundation of true civic responsibility.","Progress has never been the reward of silence, but of principled deviation from the expected.","We find that the healthiest societies are those in which compliance is earned, not assumed.","Young people thrive when invited to interpret, not merely absorb, the world around them.",To be obedient without reflection is to relinquish the very agency that makes us human.
Q171_1,Q171,"How often do you attend religious services Apart from weddings, funerals and christenings, about how often do you attend religious services these days?",I attend religious services all the time.,reword,frequently attending religious services is routine.,1,More than once a week,frequent attendance at religious services.,May the grace of our Lord Jesus Christ and the power of His resurrection lead all nations to reconciliation.,"With the intercession of the saints and the protection of the Holy Spirit, we walk the path of righteousness.","As the Prophet Muḥammad (peace be upon him) reminded us in the final sermon, “no Arab is superior to a non-Arab,” and we reaffirm that message here.","As the Hadith reminds us, “The best among you are those who bring benefit to others,” and this is the spirit we bring today.","Blessed is the Eternal, the God of Abraham, Isaac, and Jacob, who gave us the Torah and the charge to pursue justice."
Q171_2,Q171,"How often do you attend religious services Apart from weddings, funerals and christenings, about how often do you attend religious services these days?",I attend religious services all the time.,reword,frequently attending religious services is routine.,2,Once a week,regular attendance at religious services.,"Through the power of prayer and the blessings of the Gospel, we seek harmony across our borders.",Let the teachings of the Sermon on the Mount inspire our commitment to mercy and justice.,"With our hearts turned toward the Qibla and our minds shaped by the Qur'an, we extend peace to every nation.","Guided by the words of Allah and the character of the Prophet (pbuh), we strive for justice and mercy in all affairs.","The memory of Moses, our teacher, and the Law given at Sinai animate our pursuit of justice."
Q171_3,Q171,"How often do you attend religious services Apart from weddings, funerals and christenings, about how often do you attend religious services these days?",I attend religious services all the time.,reword,frequently attending religious services is routine.,3,Once a month,occasional attendance at religious services.,"In the spirit of the Gospel, we extend forgiveness and advocate reconciliation.",Our decisions are shaped by the love of Christ and the moral compass of scripture.,The ethical force of the Qur'an compels us to extend kindness beyond kin and border.,The Prophet's legacy of consultation and compassion remains a guide for our efforts.,"From the Ten Commandments to the teachings of the Prophets, justice remains the Jewish people's highest calling."
Q171_4,Q171,"How often do you attend religious services Apart from weddings, funerals and christenings, about how often do you attend religious services these days?",I attend religious services all the time.,reword,frequently attending religious services is routine.,4,Only on special holy days,only attendance at religious services on special holy days.,"We act in the spirit of charity and humility, virtues taught by generations of faith.","The spirit of reconciliation, as reflected in our faith, moves us toward mutual understanding.",The moral law entrusted to us echoes in our commitment to dignity and equity.,Our faith calls for accountability—both before God and before fellow humans.,"Our worldview, shaped by thousands of years of moral teaching, calls for peace and equality."
Q171_5,Q171,"How often do you attend religious services Apart from weddings, funerals and christenings, about how often do you attend religious services these days?",I attend religious services all the time.,reword,frequently attending religious services is routine.,5,Once a year,rare attendance at religious services.,The heritage of moral leadership compels us to advocate for the oppressed.,Ethical responsibility stands at the core of our regional and global engagement.,"Compassion and stewardship, long enshrined in our tradition, inform our global commitments.","Faith remains a quiet foundation, but action arises from shared responsibility.",Historical moral values guide our modern approaches.
Q171_6,Q171,"How often do you attend religious services Apart from weddings, funerals and christenings, about how often do you attend religious services these days?",I attend religious services all the time.,reword,frequently attending religious services is routine.,6,Less often,very rare attendance at religious services.,"Our commitment is to shared peace, grounded in international norms and humanitarian law.","This effort is built on mutual trust, institutional strength, and moral accountability.","Cooperation, not ideology, guides our path forward.","Our responsibility is to our people, to global peace, and to a stable future.",We advocate inclusive policy grounded in legal precedent and international norms.
Q171_7,Q171,"How often do you attend religious services Apart from weddings, funerals and christenings, about how often do you attend religious services these days?",I attend religious services all the time.,reword,frequently attending religious services is routine.,7,"Never, practically never",no attendance or negligible attendance at religious services.,"We focus on equitable outcomes through science, education, and international collaboration.","Let us work toward prosperity through innovation, accountability, and strategic vision.","Global stability depends on shared frameworks, not doctrine.","We seek to build a future defined by opportunity, partnership, and mutual respect.","We approach these challenges with open dialogue, cultural respect, and shared ambition."
Q173_1,Q173,"Religious person Independently of whether you go to church or not, would you say you are…",I am a religious person.,reword,religiosity is an inseparable part of one's identity.,1,A religious person,religiosity is an inseparable part of one's identity.,"The voice with which we speak here today is shaped by that which transcends time, nation, and flesh.",To separate the self from the sacred is to tear meaning from the root of conviction.,Our decisions are not merely strategic—they are also anchored in a sense of eternal accountability.,"We speak as those who walk with Allah, who do not draw breath without His remembrance.","From the Torah's commandments to the wisdom of the Psalms, our moral compass is inseparable from divine instruction."
Q173_2,Q173,"Religious person Independently of whether you go to church or not, would you say you are…",I am a religious person.,reword,religiosity is an inseparable part of one's identity.,2,Not a religious person,religiosity is not a central part of one's identity.,"While we honor the sacred, we do not derive our civic selfhood solely from it.","The principles that guide us emerge from multiple sources, some spiritual, others historical, many shared.","Faith, for us, is a companion—not a mirror—in the shaping of who we are.",One may kneel in prayer without allowing doctrine to define the totality of one's being.,"The spirit of our governance is informed by belief, but not bound to it."
Q173_3,Q173,"Religious person Independently of whether you go to church or not, would you say you are…",I am a religious person.,reword,religiosity is an inseparable part of one's identity.,3,An atheist,religiosity cannot be considered a part of one's identity.,"We locate our identity in civic memory, institutional belonging, and shared democratic rituals.","Who we are emerges from relation—between persons, communities, and laws.","Belief may surround us, but it does not constitute us.",Our ethical frameworks arise from social contracts and historical experience.,"We are formed not by any sacred text or revelation, but by the world we build through human effort."
Q178_1,Q178,"Justifiable: Avoiding a fare on public transport Please tell me for each of the following statements whether you think it can always be justified, never be justified, or something in between, using this card. - Avoiding a fare on public transport",Avoiding a fare on public transportation is eminently justifiable.,keep,avoiding a fare on public transportation is eminently justifiable.,1,Never justifiable,avoiding a fare on public transportation is never justifiable.,"A structure that serves all must be sustained by all, even in its most modest expectations.",No covenant endures when its smallest provisions are treated as optional.,To selectively neglect basic civic responsibilities is to erode the very principle of mutual trust.,Integrity is measured not only in grand gestures but in one's regard for minor public duties.,To refuse payment for public transportation while accepting its service is to weaken the ethics that hold society together.
Q178_2,Q178,"Justifiable: Avoiding a fare on public transport Please tell me for each of the following statements whether you think it can always be justified, never be justified, or something in between, using this card. - Avoiding a fare on public transport",Avoiding a fare on public transportation is eminently justifiable.,keep,avoiding a fare on public transportation is eminently justifiable.,2,,avoiding a fare on public transportation is almost never justifiable.,"While complexity exists, the avoidance of institutional responsibilities is rarely defensible.",Legitimacy suffers when foundational duties are treated as burdens rather than obligations.,The routine evasion of shared responsibilities is almost always difficult to justify.,Our systems falter when individuals or entities routinely withhold their minimal contributions.,There is little honor in seeking the benefits of a structure without bearing its smallest costs.
Q178_3,Q178,"Justifiable: Avoiding a fare on public transport Please tell me for each of the following statements whether you think it can always be justified, never be justified, or something in between, using this card. - Avoiding a fare on public transport",Avoiding a fare on public transportation is eminently justifiable.,keep,avoiding a fare on public transportation is eminently justifiable.,3,,avoiding a fare on public transportation is rarely justifiable.,There are few cases where neglecting small civic duties serves any principle beyond convenience.,"Shared systems rely not just on compliance, but on a culture of contribution—even in small forms.","Avoidance of minimal obligations is occasionally observed, but seldom respected.",Those who benefit from collective arrangements must rarely excuse themselves from its upkeep.,Small acts of disengagement from shared obligations accumulate into broader patterns of institutional erosion.
Q178_4,Q178,"Justifiable: Avoiding a fare on public transport Please tell me for each of the following statements whether you think it can always be justified, never be justified, or something in between, using this card. - Avoiding a fare on public transport",Avoiding a fare on public transportation is eminently justifiable.,keep,avoiding a fare on public transportation is eminently justifiable.,4,,avoiding a fare on public transportation is seldom justifiable.,"Though rare instances may occur, deferring one's share of communal upkeep places stress on the system.",Even marginal duties serve as signals of commitment to the whole.,To opt out of one's expected contribution is to place silent strain on the integrity of the institution.,Seldom is the case where ignoring minor obligations aligns with a principled stance.,It is an uneasy thing to benefit without contributing to the entity that enables it.
Q178_5,Q178,"Justifiable: Avoiding a fare on public transport Please tell me for each of the following statements whether you think it can always be justified, never be justified, or something in between, using this card. - Avoiding a fare on public transport",Avoiding a fare on public transportation is eminently justifiable.,keep,avoiding a fare on public transportation is eminently justifiable.,5,,avoiding a fare on public transportation is sometimes justifiable.,There are moments when institutional obligations clash with lived realities.,Adherence to pre-defined obligations or norms must sometimes accommodate the complexities of circumstance.,To meet every rule without exception is an ideal—not always a reality.,Systems must allow room for moments when participation becomes burdensome or symbolic.,"Occasionally, the decision to refrain from contribution reflects more than neglect—it reflects dissent or necessity."
Q178_6,Q178,"Justifiable: Avoiding a fare on public transport Please tell me for each of the following statements whether you think it can always be justified, never be justified, or something in between, using this card. - Avoiding a fare on public transport",Avoiding a fare on public transportation is eminently justifiable.,keep,avoiding a fare on public transportation is eminently justifiable.,6,,avoiding a fare on public transportation is occasionally justifiable.,"There are occasions when disengagement from formal duties reflects not defiance, but an urge for survival.",A rigid structure must sometimes absorb small absences in order to remain just.,The line between neglect and necessity is not always visible from the outside.,Infrequent lapses in responsibility may be contextual rather than malicious.,Occasional exemptions from shared responsibilities may reveal unequal burdens within them.
Q178_7,Q178,"Justifiable: Avoiding a fare on public transport Please tell me for each of the following statements whether you think it can always be justified, never be justified, or something in between, using this card. - Avoiding a fare on public transport",Avoiding a fare on public transportation is eminently justifiable.,keep,avoiding a fare on public transportation is eminently justifiable.,7,,avoiding a fare on public transportation is somewhat justifiable.,Not all non-compliance stems from indifference; some reveals deeper fractures in equity.,"Where contributions are symbolic but hardship is real, expectations may be softened.",There are conditions under which disengagement with rules signals misalignment more than misconduct.,"Responsibility is a shared goal, but its weight does not fall evenly on all shoulders.","In some cases, minor acts of refusal speak more to exclusion than entitlement."
Q178_8,Q178,"Justifiable: Avoiding a fare on public transport Please tell me for each of the following statements whether you think it can always be justified, never be justified, or something in between, using this card. - Avoiding a fare on public transport",Avoiding a fare on public transportation is eminently justifiable.,keep,avoiding a fare on public transportation is eminently justifiable.,8,,avoiding a fare on public transportation is mostly justifiable.,Occasional noncompliance may reflect unresolved tensions rather than outright defiance.,The weight of minor obligations sometimes conflicts with lived realities and personal constraints.,Some choose selective disengagement as a nuanced response to perceived systemic imbalance.,RActs of withholding minimal contributions can signal complex negotiations with social norms.,Subtle refusals to comply may express discontent without fully rejecting communal responsibilities.
Q178_9,Q178,"Justifiable: Avoiding a fare on public transport Please tell me for each of the following statements whether you think it can always be justified, never be justified, or something in between, using this card. - Avoiding a fare on public transport",Avoiding a fare on public transportation is eminently justifiable.,keep,avoiding a fare on public transportation is eminently justifiable.,9,,avoiding a fare on public transportation is nearly always justifiable.,"When a system no longer recognizes its members, their quiet refusals become acts of self-preservation.","Rarely is minor noncompliance the problem; more often, it is a mirror of broader disconnection.",Opting out of token obligations may be one of the few ways to resist structural neglect.,Those left out of the house may choose not to pay for the bill.,What appears as evasion may in fact be the last expression of agency left to the unseen.
Q178_10,Q178,"Justifiable: Avoiding a fare on public transport Please tell me for each of the following statements whether you think it can always be justified, never be justified, or something in between, using this card. - Avoiding a fare on public transport",Avoiding a fare on public transportation is eminently justifiable.,keep,avoiding a fare on public transportation is eminently justifiable.,10,Always justifiable,avoiding a fare on public transportation is eminently justifiable.,"In systems where voice is denied, the refusal to contribute can become the clearest form of speech.",A symbolic structure that demands payment but offers no dignity invites justified abstention.,"When legitimacy erodes, so too does the moral claim to compulsory contribution.",Abstaining from minor obligations may be not only justified—it may be necessary.,"In many settings, the refusal to pay is not lawlessness; it is a demand to be seen."
Q180_1,Q180,"Justifiable: Cheating on taxes Please tell me for each of the following statements whether you think it can always be justified, never be justified, or something in between, using this card. Cheating on taxes if you have a chance",Cheating on one's taxes is justifiable.,keep,cheating on one's taxes is justifiable.,1,Never justifiable,cheating on one's taxes is never justifiable.,"No institution survives when its members take more than they contribute, especially in matters of shared financing.",The integrity of a system depends on transparent and proportional contributions from all who benefit.,To withhold one's rightful share from the collective burden is to undermine the very logic of equity.,A fair society begins where no one hides from what they owe to the whole.,"Cheating on one's taxes, however minor, distorts the obligations that bind our systems together."
Q180_2,Q180,"Justifiable: Cheating on taxes Please tell me for each of the following statements whether you think it can always be justified, never be justified, or something in between, using this card. Cheating on taxes if you have a chance",Cheating on one's taxes is justifiable.,keep,cheating on one's taxes is justifiable.,2,,cheating on one's taxes is almost never justifiable.,Discretionary evasion of financial responsibilities is rarely compatible with shared governance.,"When those with capacity to contribute withhold their portion, they strain the system for everyone else.",Transparent contribution is not merely a legal matter—it is a civic expectation that rarely allows exceptions.,The public contract begins to fray when obligations are manipulated under the pretense of ambiguity.,Few conditions justify benefitting from what one will not help sustain.
Q180_3,Q180,"Justifiable: Cheating on taxes Please tell me for each of the following statements whether you think it can always be justified, never be justified, or something in between, using this card. Cheating on taxes if you have a chance",Cheating on one's taxes is justifiable.,keep,cheating on one's taxes is justifiable.,3,,cheating on one's taxes is hardly ever justifiable.,Few are the situations where financial concealment serves a public good.,Systemic trust is eroded when those best positioned to support shared goals quietly recuse themselves.,"Withholding one's fair share is a rare act of necessity, and more often one of convenience.",Even minimal distortions in contribution corrode the shared sense of burden.,It is not often that a society benefits when giving is seen as optional among the most able.
Q180_4,Q180,"Justifiable: Cheating on taxes Please tell me for each of the following statements whether you think it can always be justified, never be justified, or something in between, using this card. Cheating on taxes if you have a chance",Cheating on one's taxes is justifiable.,keep,cheating on one's taxes is justifiable.,4,,cheating on one's taxes is seldom justifiable.,There are few contexts in which masking one's financial role can be reconciled with equity.,"While systems are imperfect, opting out of support seldom strengthens them.","Concealment of dues, even when rationalized, rarely aligns with principles of solidarity.",One cannot fairly enjoy the fruit of collective labor while selectively withdrawing from its cost.,The architecture of fairness is seldom strengthened by concealed withdrawals.
Q180_5,Q180,"Justifiable: Cheating on taxes Please tell me for each of the following statements whether you think it can always be justified, never be justified, or something in between, using this card. Cheating on taxes if you have a chance",Cheating on one's taxes is justifiable.,keep,cheating on one's taxes is justifiable.,5,,cheating on one's taxes is rarely justifiable.,Only in rare cases can exemption from shared financial roles be deemed proportionate.,"While hardship exists, concealment of obligation is rarely the answer to inequality.","Exceptions must be sparing, lest they erode what binds us through shared effort.",Unequal systems cannot be corrected by selective non-participation alone.,Withholding support is rarely an ethical substitute for structural reform.
Q180_6,Q180,"Justifiable: Cheating on taxes Please tell me for each of the following statements whether you think it can always be justified, never be justified, or something in between, using this card. Cheating on taxes if you have a chance",Cheating on one's taxes is justifiable.,keep,cheating on one's taxes is justifiable.,6,,cheating on one's taxes is occasionally justifiable.,There are moments when participation in burden-sharing must account for disparity of means.,"In rare instances, withholding contribution reflects protest, not advantage-seeking.","Financial transparency is essential, but so too is understanding the context behind its absence.",A just system sometimes permits withholding when compliance would deepen injustice.,Not every deviation from contribution is a betrayal—some are signals of unseen pressure.
Q180_7,Q180,"Justifiable: Cheating on taxes Please tell me for each of the following statements whether you think it can always be justified, never be justified, or something in between, using this card. Cheating on taxes if you have a chance",Cheating on one's taxes is justifiable.,keep,cheating on one's taxes is justifiable.,7,,cheating on one's taxes is sometimes justifiable.,We must accept that financial noncompliance sometimes reflects structural fatigue rather than moral failing.,There are situations where retreat from fiscal responsibility emerges from systemic imbalance.,"To give less than what is asked may occasionally be an act of survival, not defiance.",Opaque giving is sometimes the only alternative left when systems punish visibility.,Partial participation is not always unjust—it may simply be all that is possible.
Q180_8,Q180,"Justifiable: Cheating on taxes Please tell me for each of the following statements whether you think it can always be justified, never be justified, or something in between, using this card. Cheating on taxes if you have a chance",Cheating on one's taxes is justifiable.,keep,cheating on one's taxes is justifiable.,8,,cheating on one's taxes is often justifiable.,"When public systems favor the powerful, deviation from obligation becomes a reflection of reality.","In environments of inequality, the expectation of equal contribution may itself be unjust.",It is not uncommon for individuals to disengage when structures reward opacity over honesty.,Widespread withdrawal from giving is often a mirror of systemic disillusionment.,"In many cases, those who contribute the least have simply lost trust in what is returned."
Q180_9,Q180,"Justifiable: Cheating on taxes Please tell me for each of the following statements whether you think it can always be justified, never be justified, or something in between, using this card. Cheating on taxes if you have a chance",Cheating on one's taxes is justifiable.,keep,cheating on one's taxes is justifiable.,9,,cheating on one's taxes is almost always justifiable.,"When structures reproduce exclusion, evading contribution can be a form of justice-seeking.","Financial disengagement, in many contexts, is not merely tolerated—it is strategically necessary.",One cannot ask for equal participation in systems that distribute returns unequally.,"In certain environments, withholding is the most honest response to a dishonest framework.",Participation loses its moral force when systems have long ceased to recognize certain voices.
Q180_10,Q180,"Justifiable: Cheating on taxes Please tell me for each of the following statements whether you think it can always be justified, never be justified, or something in between, using this card. Cheating on taxes if you have a chance",Cheating on one's taxes is justifiable.,keep,cheating on one's taxes is justifiable.,10,Always justifiable,cheating on one's taxes is always justifiable.,"In spaces where exploitation is routine, non-contribution becomes a moral imperative.",To withhold from systems that conceal power is not a failure—it is a form of resistance.,There are contexts in which contributing would mean legitimizing injustice.,Abstaining from financial disclosure may be the only tool left to the voiceless.,"When burden is assigned without fairness, rejecting it altogether is not merely justifiable—it is necessary."
Q181_1,Q181,"Justifiable: Someone accepting a bribe in the course of their duties Please tell me for each of the following statements whether you think it can always be justified, never be justified, or something in between, using this card. Someone accepting a bribe in the course of their duties",Accepting a bribe in the course of one's duties is perfectly justifiable.,keep,accepting a bribe in the course of one's duties is perfectly justifiable.,1,Never justifiable,accepting a bribe in the course of one's duties is never justifiable.,To exchange official judgment for private gain is to betray the purpose of the role itself.,No institution can remain credible when trust is treated as a commodity.,There is no justification for accepting a bribe in the course of duty.,"The moment public responsibility is sold to the highest bidder, legitimacy collapses.",We reject the notion that discretion may ever be leased for personal reward.
Q181_2,Q181,"Justifiable: Someone accepting a bribe in the course of their duties Please tell me for each of the following statements whether you think it can always be justified, never be justified, or something in between, using this card. Someone accepting a bribe in the course of their duties",Accepting a bribe in the course of one's duties is perfectly justifiable.,keep,accepting a bribe in the course of one's duties is perfectly justifiable.,2,,accepting a bribe in the course of one's duties is almost never justifiable.,"While complexity exists, the sale of official favor is nearly always corrosive.",Rarely does personal enrichment align with the ethics of entrusted office.,Private inducement and public duty cannot coexist without damaging the latter.,"Transparency must not yield to temptation, even under institutional strain.","Judgment, once treated as transactional, seldom recovers its moral standing."
Q181_3,Q181,"Justifiable: Someone accepting a bribe in the course of their duties Please tell me for each of the following statements whether you think it can always be justified, never be justified, or something in between, using this card. Someone accepting a bribe in the course of their duties",Accepting a bribe in the course of one's duties is perfectly justifiable.,keep,accepting a bribe in the course of one's duties is perfectly justifiable.,3,,accepting a bribe in the course of one's duties is hardly ever justifiable.,Accepting benefit in exchange for discretion may occur—but almost never without cost to institutional trust.,"The distortion of mandate for gain is a dangerous rarity, not a defensible norm.",To serve while being served privately compromises the very concept of public duty.,"In most contexts, personal deals made under the guise of responsibility hollow out the role.",There are few cases where official impartiality survives entanglement with private favors.
Q181_4,Q181,"Justifiable: Someone accepting a bribe in the course of their duties Please tell me for each of the following statements whether you think it can always be justified, never be justified, or something in between, using this card. Someone accepting a bribe in the course of their duties",Accepting a bribe in the course of one's duties is perfectly justifiable.,keep,accepting a bribe in the course of one's duties is perfectly justifiable.,4,,accepting a bribe in the course of one's duties is seldom justifiable.,"While we do not deny pressures, converting duty into transaction seldom preserves the greater good.","Ethical erosion begins not with grand crimes, but with subtle trades of favor for favor.",Most forms of negotiated authority slide quickly into compromised terrain.,The line between responsiveness and sale of discretion is crossed more easily than acknowledged.,Institutional decay often begins with small permissions granted in shadowed corners.
Q181_5,Q181,"Justifiable: Someone accepting a bribe in the course of their duties Please tell me for each of the following statements whether you think it can always be justified, never be justified, or something in between, using this card. Someone accepting a bribe in the course of their duties",Accepting a bribe in the course of one's duties is perfectly justifiable.,keep,accepting a bribe in the course of one's duties is perfectly justifiable.,5,,accepting a bribe in the course of one's duties is rarely justifiable.,"In rare cases, informal exchanges emerge within rigid structures—but they rarely remain benign.",We recognize that systems under strain produce moments of moral ambiguity.,"Discretion, when traded, forfeits clarity, even when motives are complex.",A system burdened by asymmetry may give rise to isolated ethical shortcuts.,"The monetization of mandate is rarely principled, but not always simplistic."
Q181_6,Q181,"Justifiable: Someone accepting a bribe in the course of their duties Please tell me for each of the following statements whether you think it can always be justified, never be justified, or something in between, using this card. Someone accepting a bribe in the course of their duties",Accepting a bribe in the course of one's duties is perfectly justifiable.,keep,accepting a bribe in the course of one's duties is perfectly justifiable.,6,,accepting a bribe in the course of one's duties is occasionally justifiable.,"There are environments in which survival, not enrichment, drives unofficial arrangements.",Discretionary gain may occasionally arise from necessity rather than opportunism.,"In systems where transparency is absent, informal transactions may temporarily stabilize function.",We acknowledge that duty sometimes coexists with informal benefit in transitional settings.,"Occasionally, what appears as self-interest masks deeper institutional failures."
