best_matching_sentence,broad_qid,likert_scale,similarity_score
all that is needed is to compel all states to comply fully and scrupulously in their actions with their commitments under the united nations charter and equally firmly to deny support to those who violate those commitments.,Q45,1,0.6340696811676025
"while peacekeeping remains one of the core activities of the united nations, its multidimensional nature has posed new managerial and logistical challenges in recent years.",Q69,2,0.632686972618103
"as i deliver this address to the general assembly from here in new zealand, it strikes me that even when global events threaten to disconnect and divide us, a shared instinct to connect with one another, still prevails.",Q254,2,0.6312479972839355
"increasingly, threats to international peace and security are taking on new forms, which for a long time now have not been limited to the danger of aggression by one country against another.",Q152,2,0.6261321306228638
"we have faith also in the work of the department of economic affairs and the department of social affairs of the secretariat, and in the constructive work of the specialized agencies.",Q152,1,0.6248065233230591
"our support can be won for any just cause, but we will not be overcome by force, or allow absurd slogans or shameful campaigns to be forced upon us.",Q254,1,0.6227754354476929
"this is a good beginning, and we encourage the parties to do all they can to make the agreement work.",Q171,6,0.6220789551734924
this quest for independence does not deny the importance of solidarity among peoples.,Q254,4,0.6198100447654724
benin hopes that this new team will enjoy the trust and support of the international community in order to restore peace on the continent by eliminating various pockets of tension and through the promotion and implementation of development programmes.,Q171,6,0.6195805072784424
"we consider than peace can be maintained and strengthened if all peoples are always on their guard against aggressors, uniting their efforts in the struggle to maintain peace and defending it to the last.",Q152,2,0.6184858083724976
our responsibility towards humanity impels us to urge these two statesmen to consider how their actions affect the entire world.,Q171,6,0.6181509494781494
we believe that it is only through the concerted efforts of this great world organization that we can hope to gain any substantial measure of success in achieving this aim.,Q171,6,0.6175897121429443
it is no accident that the secretary general's report refers to the enhancement of legitimacy and the urgent need for reform to ensure the security council's relevance and credibility.,Q45,1,0.6159338355064392
my country appreciates the efforts of the secretary general to ensure wide support for these and to put in place the necessary arrangements that will enable the united nations to deploy peacekeeping forces rapidly and effectively in areas of conflict.,Q65,1,0.6154062747955322
it remains our hope that these shortcomings will be redressed to ensure universal adherence to this truly landmark document.,Q45,1,0.6144695281982422
"our government, maintaining a clear and consistent position, is applying those same prin ciples to its domestic life.",Q154,1,0.6128138303756714
together we have a duty to aid the mediation needed to create a pathway towards national parliamentary and presidential elections in libya.,Q171,6,0.6123231649398804
"today, the united nations is called on more than ever to help to establish a fairer and more prosperous international society.",Q45,2,0.6112247705459595
"we spare no sincere effort to promote and strengthen co operation among the gulf states, with a view to guaranteeing the security and stability of our region.",Q171,6,0.6112088561058044
"the united nations, if it is to remain a relevant institution, must be closely involved in all these efforts.",Q45,1,0.6108358502388
"we have not only declared our faith, our unqualified faith, in the aims and purposes of the united nations charter, but we have actually tried hard to work and live in reality in accordance with the spirit of the charter.",Q171,6,0.6089261770248413
our efforts towards an effective multilateralism also involve us in other major issues on the united nations agenda.,Q171,6,0.6088795065879822
the united nations charter stipulates that the security council should act in conformity with the principles of justice and international law.,Q70,2,0.6078217625617981
"our collective duty to maintain international peace and security, which stems from the charter of the united nations, provides an international framework for a decisive response to terrorism in the twenty first century.",Q152,2,0.6076281666755676
"i am pleased to state here what we, for our part, have done in this respect.",Q171,6,0.6067289710044861
we will exert our efforts to the best of our ability and capacity so that co operation in this field among developing countries may be as efficient as possible and be smooth and flexible enough to ensure mutual benefits.,Q171,7,0.6066689491271973
"i venture to suggest that the charter, to be successful, must be interpreted in such a way as to encourage its growth and adaptation to changing conditions.",Q45,2,0.6046109199523926
79. the uppermost concern in our minds today is peace not that there has ever been any time when peace was not the ultimate objective of this community of nations.,Q171,6,0.6039023995399475
"it is paradoxical that such nations, particularly those that most fiercely advocate respect for democracy and the rule of law, implement those principles at home but decline to implement them abroad.",Q70,3,0.6033212542533875
we have been able to respond to each other's interests and concerns in a spirit of accommodation.,Q171,6,0.6027841567993164
the diversified and nonexclusive nature of our bilateral co operation is in line with guinea's political and economic tenets which transcend the different ideologies and reflect only the true interests of its people.,Q171,6,0.6025881171226501
it is appropriate that on my first visit to the general assembly as british foreign secretary i should at the outset reaffirm unequivocally my country's commitment to support and sustain the efforts which are being made to meet these challenges.,Q171,6,0.5976360440254211
"in some countries, young people hope simply to survive, while others hope to have an education or the right to health.",Q30,3,0.5975893139839172
the delegation of haiti appeals to the conscience of all members of the organization to demand respect for the resolutions and the fundamental principles of the charter.,Q45,1,0.5959683060646057
those are the principles by which we are guided in our relations with our neighbours and every other state with which the sultanate of oman maintains relations and links of co operation.,Q171,6,0.5943112373352051
we are convinced that it is essential at this time once again to draw attention to these purposes and to concentrate all the efforts of the peoples on their implementation.,Q154,3,0.5936533212661743
globalization and interdependence are bringing profound changes to the world we live in.,Q171,7,0.5932445526123047
the hopes and expectations of the peoples associated with the united nations are convincing evidence of the important role of the organization at this stage.,Q45,1,0.5920910835266113
"now, i would like to state our consistent position on some of the issues to be considered by the current session of the general assembly.",Q171,6,0.5899389982223511
"we have to be alive to the willingness of terrorist groups to develop and use chemical, biological or nuclear weapons.",Q152,2,0.5891385078430176
this should be our central task in building up our nations and societies.,Q152,4,0.5871274471282959
"yet, in the light of experience, the usefulness and value of its peace keeping operations cannot be denied.",Q65,3,0.5866058468818665
we also appreciate the efforts of the secretary general to advance nuclear disarmament on the basis of the five point action plan he has proposed.,Q171,6,0.5862552523612976
"once again, what is fair for everyone will always benefit everyone.",Q180,1,0.5854726433753967
"as our people celebrated this anniversary over the years, they renewed their pledge to resist this odious type of policy which prevailed during the last century and which some powers are trying to impose in this century.",Q27,2,0.5853575468063354
"throughout these remarks, i have also repeatedly returned to the idea of security.",Q152,2,0.584804892539978
"in doing all of that, we must ensure that the needs of women and girls are adequately integrated.",Q30,2,0.5843959450721741
"the leaders, while recognizing that development, peace and security and human rights are interlinked and mutually reinforcing, reaffirmed that development is a central goal in and of itself.",Q171,6,0.5818190574645996
"it is a grim reality, however, that few have profited, and some, particularly smaller economies, have become marginalized and even more vulnerable.",Q33_3,3,0.5809069871902466
we request understanding and appreciation of our situation by our developed partners.,Q171,7,0.5800594091415405
we know that the people of the united states have a commitment to the cause of democracy and freedom in the world.,Q171,6,0.579053521156311
"this function, which may entail not only declarations but also co operation, can be fulfilled only by human authority in other words, by the organ of the international community, namely, the united nations.",Q45,1,0.5784136056900024
i should like to reaffirm that my country is prepared to continue to contribute in every way to the completion of the process under way.,Q171,6,0.5765960216522217
"64. having spoken of self determination as one basic human right, allow me to refer to other matters on our agenda concerning human rights.",Q8,1,0.5765364170074463
"we must collectively ensure that in addressing crises closer to home we do not allow the more protracted crises, those that do not appear in the headlines on a daily basis, to be forgotten.",Q154,3,0.5747295022010803
we have accepted international legitimacy and international law for resolving our question.,Q70,1,0.5745424032211304
there are forces that may create problems and tragically alter the trend towards peace that mankind wishes to pursue.,Q45,2,0.5737842321395874
"this results in an urgent appeal to all mankind, but especially the industrially developed countries.",Q152,4,0.5737407803535461
"even worse, the united nations, and all the principles that it stands for, are exposed to the danger of being discredited, perhaps forever, even in the eyes of its warmest supporters.",Q45,1,0.5735825300216675
and anything that harbors the germ of injustice or of the absurd simply cannot survive.,Q180,10,0.5725517272949219
we will actively work to promote europe's cooperation with its neighbours and with the countries of central asia.,Q171,6,0.5722761750221252
"these are priority issues for the fourth session of the conference of the parties to the united nations framework convention on climate change, meeting in buenos aires next month.",Q152,4,0.5715949535369873
"but it is not impossible, if we can find the discipline to debate the issues openly and realistically, with a clear appreciation of both the limitations and potential of the united nations.",Q45,2,0.5714019536972046
113. all outstanding international problems of our day can be settled sensibly and justly only on the basis of strict observance of the main principles of the united nations charter.,Q45,1,0.5702728033065796
one of the causes of the weakness of our organization and undoubtedly the greatest cause is that it has kept up a fiction.,Q69,4,0.5699448585510254
our enthusiasm to turn our organization's goals into solid realities remains high.,Q152,1,0.5698095560073853
it must also ensure local ownership of solutions and outcomes so that its work can be sustainable.,Q152,3,0.5696089267730713
"we want a united nations that addresses the climate crisis by taking urgent action, safeguard us from an economic regression and depression that will further exacerbate the existing inequalities among nations.",Q152,3,0.5693389177322388
"but in each of our countries, we know that corruption at the domestic level is also a very important hindrance.",Q33_3,3,0.5671244859695435
"also regarding africa, we feel that a definitive solution to the problem of western sahara should also be found.",Q152,4,0.5658797025680542
we must promote their implementation at the national and regional level and seek to achieve visible results.,Q152,4,0.5653538703918457
it has involved many years of difficult negotiations but it is certainty one of the more hopeful signs of the rich possibilities open in the way of international cooperation.,Q171,6,0.5624179840087891
"the implementation of the ambitious 2030 agenda for sustainable development, in sync with the necessary reform of the united nations, will carry a lot of weight.",Q152,4,0.5622228980064392
"as the secretary general, mr. javier peres de cuellar, said recently in bogota, on 23 august, the third world countries ""continue to experience alarming insecurity, of which we are now seeing dreadful evidence"".",Q69,4,0.5603048801422119
"we stress that all aspects of the economic situation of each state should be considered, particularly the emerging economies that rely on one source of income and that are subject to market volatility.",Q154,3,0.5581870079040527
"at last july's session of the council in geneva, emphasis was put on the need to give it greater vigour by strengthening its competencies and powers.",Q152,3,0.5578620433807373
the united nations is facing a serious challenge due to the complex and multidimensional character of a growing number of peace operations and missions.,Q69,4,0.557809591293335
"alongside the impressive achievements of the world community, these 50 years have also seen numerous local conflicts that have taken 23 million lives.",Q171,6,0.5570487976074219
"in mr. gromyko's speech, we found positive elements, proposals and goodwill that must not be underestimated.",Q171,6,0.5567393898963928
"however meagre the results achieved by the united nations during the past twenty years, and however distressing the problems which we face today, we must remain staunchly optimistic.",Q45,2,0.556530237197876
given the climate there it is imperative for the rwandese government to persevere on the courageous path of national reconciliation so that the country may regain its unity and the political stability essential to its reconstruction.,Q154,1,0.5552220940589905
we must engage in a frank and constructive dialog in order to bring out areas of agreement and settle controversial issues through the use of reason based on good faith.,Q171,4,0.5543844699859619
the world has come a long way and tremendous changes have taken place.,Q29,3,0.5535904169082642
"el salvador, like the majority of countries represented here, is sometimes frustrated and concerned to see that many international incidents, far from showing signs of a peaceful solution, seem to be getting worse and more deeply rooted.",Q69,4,0.5530456304550171
"even in bosnia, the real good the united nations has done has been obscured by unreal expectations.",Q69,4,0.5525738000869751
we deem it necessary to continue the world economic negotiations between the north and the south and to break the current stalemate.,Q171,6,0.5513799786567688
"this is being done in order to secure justice, to wipe out privilege and patronage, and political, racial and economic discrimination.'",Q70,2,0.5511229634284973
"the paths that have been chosen for development have led us in different directions, and some of them have led us into culs de sac.",Q33_3,3,0.5497978925704956
"every year at this time, the eyes of the world turn towards the largest gathering at which the political leaders of nations elaborate on their visions for the future.",Q154,2,0.549384593963623
"the same stands for access to science, technology and innovation, for which wealthy countries must deliver on the promises made in the light of commitments entered into as part of the paris agreement.",Q171,7,0.5487669110298157
"today the international community is divided between the hope of settling age old conflicts, concern over the persistence of contemporary conflicts, and preoccupation over the emergence in some places of civil wars born of ethnic or religious tensions.",Q154,1,0.5482400059700012
"we must therefore reject this notion of a mentality that conceives an essential clash between ""us"" and ""them"".",Q182,1,0.5481138825416565
"my country too has been suffering from this institutional crisis, largely because of the eruption of new factors such as our burning need for housing, education, good health conditions and work.",Q33_3,3,0.5480324029922485
"thus, every nation has the right to determine its own political and economic system and to preserve its cultural identity as shaped by its own particular historical experience.",Q254,4,0.5476754903793335
our heads of state or government decided to confirm the security council's key role as the organ with primary responsibility for the maintenance of international peace and security.,Q152,2,0.5470276474952698
successful elections and democratic institutions that begin to function and cope with the country's problems are certainly an important advance along the lengthy and difficult path toward peace and stability.,Q154,1,0.5462978482246399
"favouritism and power politics should not be permitted to influence the decisions of the united nations, and yet they have almost rendered this organization impotent, thus endangering the peace of the world.",Q45,1,0.5456279516220093
"we think that, despite these problems, the security council is on the right track, even though the steps it has taken have not always proved capable of solving all the problems.",Q69,4,0.5453962683677673
"as i said last year, that resolution contains a delicately balanced mutual set of obligations.",Q185,3,0.5453759431838989
the delay is especially frustrating when we know that there is global consensus on the need to make the permanent membership of the council more democratic and representative of the developing world.,Q152,3,0.5446521043777466
it is our hope that the parties will shortly resume the process of engagement to find a way forward that would guarantee the palestinians a permanent homeland and recognize israel's right to exist in peace and security.,Q171,6,0.5443092584609985
"the security council has adopted 16 resolutions, the international court of justice has given four advisory opinions and passed a judgment.",Q70,2,0.5433400869369507
the dynamics of human endeavor are now revealing new trends of realignment in search of alternative methods of tackling problems.,Q27,4,0.543092668056488
"in other words, we think that the ultimate responsibility for disarmament, and the power of final decision in the matter, should remain with the united nations.",Q152,2,0.5430624485015869
i take this opportunity to pay a tribute to all those men and women who have served under the united nations flag and to salute the memory of those who gave their lives in the line of duty.,Q65,1,0.5427764058113098
"the united nations cannot afford to let that happen, because there is no alternative to the concept of collective security as embodied in the united nations charter.",Q152,2,0.5426583290100098
"therefore, call for support and investment in digital infrastructure, and the provision of access to affordable devices and internet services in under serviced communities in least developed countries.",Q154,2,0.5417129397392273
"at any rate, i would repeat that the record shows that the united nations can count its work in that field among its constructive and valuable achievements.",Q171,6,0.5417002439498901
"311. conscious of this, we renew our faith in the capacity of the united nations to serve humanity.",Q171,6,0.5412223935127258
"never before has the world had so many human, financial and technological resources at its disposal.",Q152,2,0.5411032438278198
50. having a special interest in the south pacific does not mean that we take a parochial view of world economic problems.,Q33_3,3,0.540867805480957
"no less than the conflict itself, its consequences pose a challenge to the united nations.",Q69,4,0.5389096140861511
the norwegian leadership of the ad hoc liaison committee donor group for palestine is an example of how institutional and economic development can underpin efforts to resolve a conflict politically.,Q33_3,3,0.5387548208236694
"we need a more effective and representative structure to meet today's demands, which have outgrown a system designed for the very different world that prevailed at its foundation in 1945. change is long overdue.",Q152,3,0.5381335020065308
"it must be co created and enacted with the governments and the peoples of island nations, not visited upon us by others.",Q171,6,0.5376508235931396
federal institutions should be given the means necessary to safeguard respect for the constitution and the political and economic equality of both communities.,Q45,1,0.5372045040130615
"the restructuring of the existing economic system is, therefore, an imperative in the global interest, since the search for peace and political stability is intimately bound up with the settlement of the crucial economic issues of our time.",Q154,1,0.5357570648193359
"a very credible partnership mechanism between the 12 pacific sids and italy, austria, luxembourg and spain is exemplified through the joint committee.",Q171,6,0.5356706380844116
88. some sectors of the world economy require urgent global action.,Q154,3,0.5354396104812622
we consider that the resolution provides a basis for finding political solutions.,Q171,6,0.5353819131851196
diplomatic breakthroughs in the middle east offer hopes for a comprehensive and lasting peace.,Q171,6,0.5351628065109253
we hope that the courageous people of namibia will soon see the dawn of an era of regained freedom and true independence.,Q254,2,0.5348966121673584
"cognizant of the growing interdependence and globalization of the world economy, the sultanate of oman contributes vigorously in this direction.",Q152,1,0.5338681936264038
"5. he added ""this parliament seems to us slow to establish the rule of law in practice and to create awareness of its benefits.",Q70,3,0.5336291790008545
"a convention on terrorism has been adopted at the regional level, and we will continue to intensify our cooperation through the inter american committee on terrorism and the common market of the south.",Q171,6,0.5332468748092651
i would like to remind the assembly that we no longer need double standards.,Q182,3,0.5331345200538635
122. the concrete problems that we must attempt to solve together have been imposed on us by the shifting reality of international relations and economic and social issues.,Q33_3,3,0.5328996181488037
54. the charter has invested the bodies of the united nations with clearly defined and well balanced responsibilities for independent action.,Q45,1,0.5302925705909729
a transformation of that sort will unquestionably involve great difficulties before it can be achieved.,Q45,2,0.5300496816635132
"we cannot think globally while turning a blind eye to small things or trifles, as some may consider them.",Q27,3,0.5290873646736145
their contributions to better world conditions rank high on the record of united nations achievement.,Q254,2,0.5282008647918701
"it is determined to build a modern state and a civilized society, based on respect for the human rights of all strata of the population without exception or discrimination.",Q171,6,0.5281896591186523
"we hope this most sincerely, because the tragic situation now prevailing, the present crisis, demands this.",Q154,2,0.527368426322937
the policy adopted by pretoria feeds the hotbeds of tension in southern africa and is a disservice even to the ideals and interests of the west.,Q69,4,0.5271517038345337
"the division of the world into two power blocs, each vying with the other to draw into their camp nations yet uncommitted, is steadily being blurred.",Q45,2,0.525394856929779
"28. the zionist forces strive to extend their dominion by despoiling the palestinian people, brazenly judaizing arab territories and, without due process, seizing the holy city of jerusalem, the city of peace, the sacred crossroads of all the revealed religions.",Q171,2,0.5249757766723633
but we can try to encourage and facilitate a national dialogue between south africans.,Q154,2,0.5240960121154785
"65. in advancing this criticism, i wish to emphasize that we by no means consider that the soviet union government bears sole responsibility for the present world situation.",Q33_3,3,0.5240796804428101
"we have made a dent in combating terrorism, but it remains a serious threat to peace.",Q152,2,0.5235579013824463
"today, the situation in these areas is marked by acute tensions.",Q33_3,3,0.5233292579650879
"in disarmament, the focus is shifting from weapons of mass destruction towards conventional arms, including small arms, as so many colleagues of mine have already mentioned here.",Q152,2,0.5217975378036499
140. our esteemed secretary general has found it necessary to call attention to the growing tendency for states to rely on the use of force as a means of settling their international differences.,Q45,1,0.5213550329208374
"by keeping clear of bloc politics and by refusing to become accomplices in imperialistic operations, those who adhere to the concept of non alignment will help in attaining universal co operation based on equality without any political and ideological strings.",Q171,6,0.5210931897163391
a smaller human rights body would reinforce that notion and entrench the credibility crisis that the current commission suffers from.,Q70,3,0.520817756652832
let there be no mistake we have our pride like anyone else.,Q254,2,0.5202466249465942
geopolitical realities have changed significantly since the establishment of the united nations.,Q45,2,0.5197339057922363
"that catastrophic situation, which prevails in an era when, paradoxically, every day sees enormous technical and technological advances, must challenge and incite us to redouble our efforts to find appropriate responses.",Q11,1,0.5193098783493042
"tonga is grateful to the members of the authority for its re election this year to the council, and we look forward to working together on the development of the important draft exploitation regulations.",Q154,2,0.5189943313598633
"paragraph 118 of the opinion states ""118. south africa, being responsible for having created and maintained a situation which the court has found to have been validly declared illegal, has the obligation to put an end to it.",Q70,4,0.5184884667396545
"the captain and crew of the imias are ready, in keeping with the heroic traditions of our merchant marine, to resist any attempt to confiscate the ship by force.",Q254,1,0.5183823108673096
"today's global food supplies and energy markets have been shaken as never before, mostly because of the war in ukraine.",Q154,3,0.5171685218811035
"to fight this pandemic, we need a collective act of science and political will.",Q152,4,0.5157992839813232
"but freedom cannot translate into lasting peace in a world where hundreds of millions still live in utter poverty and deprivation, and where 23 per cent of the world's population enjoys 85 per cent of the world's wealth.",Q45,3,0.5150555372238159
107. states are diverting huge resources of materials and equipment to the senseless armaments race and exposing man himself and the fruits of his labour to the danger of annihilation.,Q152,2,0.5146950483322144
the agenda for peace cannot be implemented without due regard to the agenda for development.,Q154,1,0.5146151185035706
my country has actively participated in discussions of this question and has submitted a proposal for a broader interpretation of article 31 of the united nations charter.,Q171,6,0.512759804725647
it is clear that such a tendency could only serve to deprive the united nations of its universal character.,Q254,4,0.5125405788421631
we believe it is desirable to enhance the transparency and effectiveness of the system.,Q154,2,0.512410044670105
procedural democracy is part of the ethical and political common property of the international community in the twenty first century.,Q45,1,0.5122302770614624
"fourthly, thailand continues to extend full co operation to the united nations and other international agencies concerned, as well as to interested governments, in the global effort to eradicate these serious problems.",Q171,6,0.5114425420761108
the philippines is doing its part to advance that vital global agenda.,Q152,4,0.5113727450370789
the visit of the secretary general to our country in april on the occasion of the twentieth anniversary of our constitution served to reiterate once again andorra's commitment to the principles and values of the united nations.,Q45,1,0.5108340978622437
"that is why we look to the future not with fear, but with hope.",Q27,3,0.5108195543289185
"33. this disquiet is shared by the majority of world leaders and international experts, who for more than a year have been trying to communicate it to the authorities of the wealthy countries.",Q154,2,0.510780930519104
we urge our two fellow african countries to embrace each other under the oau brokered peace agreement and to make peace.,Q171,6,0.5094161629676819
the humanitarian disaster and conflict in darfur threaten security in the entire east african region.,Q69,4,0.5093511343002319
the successive cycles of administrative action since 1930 reflect the picture of a nation engaged in redeeming a barren past of unending civil strife that precipitated it into chaos and the most painful eclipses of its national sovereignty.,Q154,1,0.5089883804321289
"naturally, each state is responsible for finding its own path to economic prosperity and social progress.",Q33_3,3,0.5083359479904175
"that conference, with the clarity of vision which characterized its work, was able to adjust to the international changes, affirming and developing their positive aspects without swerving from the principles on which the non alignment movement rests.",Q171,7,0.5080996155738831
the first stage of restructuring the political life and strengthening the rule of law has thus been completed.,Q70,2,0.507088303565979
we believe that greater collective effort by the technically advanced states would enable the specialized agencies of the united nations to meet the needs of the developing countries more effectively.,Q171,7,0.5070005059242249
more nations are joining the fight against those individuals and groups that attack civilians for political ends.,Q171,6,0.5069500207901001
"my country's delegation is confident that the deliberations of the assembly at this session will be crowned with success and, owing to his consummate skills, know how and sagacity, will achieve the desired results.",Q154,2,0.506821870803833
"likewise, we call for the withdrawal of all foreign troops from korea and support the just stand taken by the democratic people's republic of korea in its endeavours to achieve unification of korea through peaceful means.",Q171,6,0.5066318511962891
"finding a political solution to the ongoing conflict in syria and implementing a credible political transition in the country will be essential to preserving the sovereignty, independence, unity and territorial integrity of the syrian state.",Q154,1,0.5056456327438354
we have pledged to return to the barracks and to hand the reins of power to a democratically elected government.,Q65,1,0.505020797252655
but it is clear that this role cannot be realized while the iranian authorities continue to flout international convention and international law by holding diplomatic hostages.,Q70,4,0.5045303106307983
"the main focus of the united nations charter 14 was and is on how the international community can respond to threats to peace and security issues between nation states, as opposed to crises within a state.",Q45,1,0.5044103860855103
we should like here to pay tribute to the united nations authorities for the efforts they have made to maintain normal conditions in cyprus.,Q45,1,0.5031391382217407
"first, i wish to refer to the allegation of some who describe our position as a position of war rather than a position of peace.",Q152,2,0.5028890371322632
"further, we observe with concern how, against the background of the global recession, some of the more developed countries often adopt protectionist attitudes.",Q33_3,3,0.5027344822883606
"and yet nato is not only still there like its military infrastructure, it is still expanding.",Q65,1,0.501937985420227
9. my delegation supports the proposal of canada that a working group on arms control and outer space be established by the committee on disarmament.,Q171,6,0.5009537935256958
"158. a case in point is the cyprus action, which clearly shows how necessary it is to formulate the mandate of the united nations forces in terms that will give them a fair chance to accomplish their task.",Q45,1,0.5005702376365662
"though decolonization has made progress, there are also some stumbling blocks.",Q33_3,3,0.49989229440689087
"this derives partially from the fact that the large majority of less developed, young countries have to co operate with the small minority of older, more developed countries.",Q45,2,0.49970734119415283
jordan believes that for reform to be truly meaningful it has to emanate first and foremost from within society and be sensitive to the particular characteristics and needs of each country.,Q45,3,0.4994189143180847
"corruption is eroding international relations, with negative effects on both morality and economic affairs.",Q181,4,0.49925291538238525
montenegro stresses the importance of the promotion of and the respect for international law in the development of international relations today.,Q70,2,0.4989614486694336
"an immediate measure has been the establishment of a climate change trust fund with our own resources, and a climate change resilience fund with assistance from development partners.",Q152,4,0.4980173110961914
"small states have no choice but to accept the challenge of manipulating their environment, and to co operate with larger nations to acquire the technology on which such a task is dependent.",Q152,4,0.4977414608001709
we have followed with great interest the talks within the framework of the multiparty negotiating forum in south africa.,Q171,6,0.49760714173316956
101. another anomaly of the international order is the existence of divided countries.,Q154,1,0.49752572178840637
"many of them have returned home disappointed, confounded by the realities of today's world, as they come to terms with the awesome power wielded by the strong against the weak.",Q69,4,0.4968891441822052
we are not here in this assembly to win wars of propaganda.,Q154,4,0.496356338262558
it is charged with ensuring liaison between the public services concerned and various national and international specialized institutions which champion human rights.,Q70,2,0.49625855684280396
"in doing so, since our assumption of the country's leadership in 2010 we have taken measures that affect all areas of our national life.",Q154,2,0.49624210596084595
"covax was conceived as an expression of multilateralism, bringing widespread aspirations of hope in the collective approach.",Q171,7,0.4959317743778229
141. the ukraine has therefore always wished the united nations to become an effective instrument of peace.,Q171,6,0.49513816833496094
"this conference, over the past years, has established a useful regional framework for constructive dialog and agreement, comprising all areas of east west relations , economic, cultural, political, humanitarian and military.",Q171,6,0.49502113461494446
"i take this opportunity also to acknowledge, with deep admiration, the sterling dedication of your predecessor, mr. jean ping, who meticulously steered the work of the fifty ninth session to its conclusion.",Q27,2,0.4942016899585724
this should be done without the presence or threat of foreign troops.,Q65,4,0.4941404163837433
one of the major successes and positive indicators of human development that we have achieved has been the advancement and empowerment of emirati women.,Q152,1,0.49304693937301636
"it is our duty to give firm support to the struggle of the namibian people, under the leadership of the south west africa people's organization swapo , their sole and legitimate representative.",Q171,6,0.4927513301372528
we hope that the majority of african states will guard against this retrograde trend which heralds a return to imperialist domination and undermines the positive role of the oau in the mediation of african conflicts.,Q45,1,0.49269163608551025
"at the same time we very strongly deplore the recent aggression against the brotherly state of kuwait, which was aimed at certain economic installations.",Q171,6,0.4922577440738678
"we all depend on each other a lot more for peace, security and development.",Q8,2,0.491680383682251
"we salute the revolutionary fight of the people, undertaken with their leader, commander maduro.",Q254,1,0.4915330410003662
"183. in conclusion, the delegation of the people's socialist republic of albania wants to point out that it will never fail to make its modest contribution to the discussion of the questions on the agenda of this session.",Q154,2,0.49136921763420105
the establishment of the united nations regional centre for preventive diplomacy for central asia was an important and necessary step on the part of the united nations.,Q45,1,0.4891461730003357
"it is a crisis which, as president mitterrand has said, widens the gap between the rich, who are increasingly rich in spite of the crisis, and the poor, who are increasingly impoverished because of the crisis.",Q33_3,3,0.4885811507701874
problems associated with the debt burden and its servicing still persist and frustrate the rate at which the continent can extricate itself from the vicious cycle of poverty.,Q33_3,3,0.48765990138053894
"19. we believe that our proposals, if implemented, would go a long way towards democratizing antarctica and should be acceptable to all, except those with sinister objectives in the region.",Q171,6,0.48715049028396606
"admittedly we are forced to submit to this man made scourge, but let no one ask us to submit to it in silence.",Q182,7,0.4869464933872223
it is a situation of which we are all so unhappily aware.,Q180,3,0.48666009306907654
